iter	RMSE
0	2.110661029
1	2.032168366
2	1.938903317
3	1.897749611
4	1.841274113
5	1.817477691
6	1.742940224
7	1.731391596
8	1.674561744
9	1.674207015
10	1.609447768
11	1.582089464
12	1.577161067
13	1.502244006
14	1.440504679
15	1.392442297
16	1.345238922
17	1.3118176
18	1.298711296
19	1.295912388
20	1.280836072
21	1.260259488
22	1.2320253
23	1.225165107
24	1.209292308
25	1.197990142
26	1.189046419
27	1.175819042
28	1.158143052
29	1.147720442
30	1.141019402
31	1.117414946
32	1.116087506
33	1.105204547
34	1.09645773
35	1.093803988
36	1.049612414
37	1.017688108
38	1.002751936
39	0.9848698117
40	0.9584761254
41	0.9541334786
42	0.9495134651
43	0.9444309632
44	0.9385789155
45	0.9372408278
46	0.9354433322
47	0.8914437586
48	0.8574642118
49	0.8422284205
50	0.8394372088
51	0.8385418843
52	0.8092822679
53	0.8072113296
54	0.8061722974
55	0.8039544249
56	0.7776734932
57	0.7659863905
58	0.7654607095
59	0.7589788367
60	0.7556747866
61	0.7250340519
62	0.7040751167
63	0.7022614539
64	0.7008720969
65	0.6875598172
66	0.6738085706
67	0.6675240502
68	0.6408782261
69	0.6284459574
70	0.6202336304
71	0.6181387025
72	0.608214543
73	0.5853156745
74	0.5811572651
75	0.5704283311
76	0.5589547583
77	0.5522553294
78	0.5470440526
79	0.5411970122
80	0.5306300582
81	0.5213938208
82	0.5146565289
83	0.5118244633
84	0.5116765877
85	0.4976726732
86	0.4892296279
87	0.4875368782
88	0.4820422752
89	0.4810929734
90	0.4773056571
91	0.4755186389
92	0.4736402962
93	0.4646259259
94	0.4544989685
95	0.4409877902
96	0.4306993018
97	0.4290499825
98	0.4197623092
99	0.4170907458
100	0.4132099518
101	0.4097500566
102	0.408237666
103	0.4041234989
104	0.4033211275
105	0.3959965005
106	0.3920880586
107	0.3913593517
108	0.3911867247
109	0.3881765239
110	0.3867855021
111	0.3866995121
112	0.3854444645
113	0.3812646265
114	0.3784695716
115	0.3780663716
116	0.3663647904
117	0.3659814227
118	0.3609826525
119	0.3582716002
120	0.354184054
121	0.351172756
122	0.3414035879
123	0.3358964562
124	0.3357446556
125	0.3318183535
126	0.3308723898
127	0.3287003461
128	0.3280269636
129	0.3118354651
130	0.3098662321
131	0.3012806058
132	0.2978838657
133	0.2962102671
134	0.2952183286
135	0.2950574171
136	0.2925958134
137	0.2866038606
138	0.2859682876
139	0.2819937615
140	0.2796035757
141	0.2772530743
142	0.2765910238
143	0.2760437859
144	0.2729419091
145	0.2710376573
146	0.2698449424
147	0.2683097926
148	0.263464419
149	0.2605292782
150	0.2579776948
151	0.2520097575
152	0.2519653277
153	0.2491239831
154	0.2481966598
155	0.2478145847
156	0.2463847567
157	0.2462359166
158	0.2460914051
159	0.2440463894
160	0.236565219
161	0.2329707763
162	0.2296837188
163	0.2283769714
164	0.2275294472
165	0.2273913527
166	0.2258811799
167	0.2238069936
168	0.2220716868
169	0.2219607425
170	0.2202387153
171	0.2192394856
172	0.2178108308
173	0.214997242
174	0.21470592
175	0.2127720763
176	0.21270365
177	0.2119139194
178	0.2118637073
179	0.2117959149
180	0.2114942618
181	0.2075616293
182	0.2068993364
183	0.2051689632
184	0.2038070068
185	0.2010591369
186	0.1966368585
187	0.1949109722
188	0.1948439292
189	0.1939518375
190	0.1938916981
191	0.1925916832
192	0.1905860958
193	0.1904869814
194	0.187527895
195	0.1869113161
196	0.185988397
197	0.1838871814
198	0.1814707793
199	0.1810132693
200	0.1785612959
201	0.1781872151
202	0.1758938714
203	0.1756578843
204	0.1719082347
205	0.1710611853
206	0.1700663592
207	0.1679242442
208	0.1673335157
209	0.1671944844
210	0.1670541145
211	0.1633482205
212	0.1623218172
213	0.1621722145
214	0.1613369201
215	0.1602667619
216	0.1582449747
217	0.1576699734
218	0.1538066997
219	0.1512277423
220	0.1511102091
221	0.1501080058
222	0.1495835181
223	0.1488584468
224	0.1479461441
225	0.1477006223
226	0.1458475893
227	0.1445060066
228	0.1443665013
229	0.1403249731
230	0.1401297083
231	0.1394261103
232	0.1365969431
233	0.1365027134
234	0.136170111
235	0.1340612295
236	0.1313490979
237	0.1306193158
238	0.1304217276
239	0.1303712921
240	0.1303289713
241	0.1302578295
242	0.1299805734
243	0.129099025
244	0.1286139457
245	0.1262557941
246	0.1257167293
247	0.1251810947
248	0.1249329952
249	0.1247272235
250	0.1213099465
251	0.1210738428
252	0.1208600007
253	0.1208301571
254	0.1205024278
255	0.119820219
256	0.1168850757
257	0.1166910524
258	0.1161062306
259	0.1148116255
260	0.114757845
261	0.11419426
262	0.1139514983
263	0.1124269837
264	0.1071009284
265	0.1054197933
266	0.1040106996
267	0.1036360441
268	0.1033992757
269	0.1026156863
270	0.1021205336
271	0.1017625759
272	0.1007118997
273	0.09898429278
274	0.09706913161
275	0.09687916245
276	0.09640428826
277	0.09513809629
278	0.0936557242
279	0.0936271941
280	0.09349616527
281	0.09206496476
282	0.09104953726
283	0.08955158588
284	0.08900384825
285	0.08840030132
286	0.08782707189
287	0.08705727814
288	0.08612082578
289	0.08569460589
290	0.08517122185
291	0.08480596477
292	0.0847560032
293	0.08446525145
294	0.08348262002
295	0.08321590727
296	0.08284631519
297	0.08282712522
298	0.08264373053
299	0.08216893472
300	0.08206509672
301	0.07985602115
302	0.07845634454
303	0.07829370448
304	0.07812398695
305	0.07803269825
306	0.07793832954
307	0.07706498385
308	0.07686677805
309	0.07658137534
310	0.07614935244
311	0.07610277891
312	0.07606734819
313	0.07454936659
314	0.07421642961
315	0.07306259535
316	0.07300638381
317	0.07263083557
318	0.07204122149
319	0.07156042692
320	0.07146788421
321	0.07122364627
322	0.07112736886
323	0.07060707254
324	0.07037054951
325	0.06962363313
326	0.06885325892
327	0.06867249101
328	0.06733704862
329	0.06617247044
330	0.06575947381
331	0.0656621735
332	0.06520658102
333	0.06507308301
334	0.06476947886
335	0.06474494756
336	0.06455200403
337	0.06440244044
338	0.06432921151
339	0.06416218866
340	0.06402511937
341	0.06390080384
342	0.06341113925
343	0.06325727161
344	0.06317329269
345	0.06305284559
346	0.06190529625
347	0.06189864714
348	0.06177149167
349	0.06174153495
350	0.06167852874
351	0.06150328235
352	0.06129228918
353	0.06054306429
354	0.06036634002
355	0.06015448949
356	0.05980695205
357	0.05974677535
358	0.05943712415
359	0.0592022349
360	0.05882015021
361	0.05881307435
362	0.05872503188
363	0.05762098516
364	0.05679262268
365	0.05666014872
366	0.05622699559
367	0.05620241723
368	0.05497645763
369	0.05485150743
370	0.05472784626
371	0.05463256591
372	0.05454544004
373	0.05415529213
374	0.0539864887
375	0.05327240645
376	0.05317642947
377	0.05307031239
378	0.05231241905
379	0.05205394287
380	0.05200048706
381	0.05199316603
382	0.05177800095
383	0.05151121284
384	0.05093192273
385	0.05053321183
386	0.04962107177
387	0.04862785484
388	0.04848821044
389	0.04838512226
390	0.0480334591
391	0.04788229546
392	0.04769320719
393	0.04757598953
394	0.0473542992
395	0.04728893663
396	0.04726702472
397	0.04719396386
398	0.04664207185
399	0.04659081224
400	0.04608212815
401	0.04601915966
402	0.04563513303
403	0.04557493316
404	0.04550927749
405	0.04547422102
406	0.04535598349
407	0.04534726691
408	0.04524342093
409	0.0450517298
410	0.04484128919
411	0.04463895817
412	0.04461590541
413	0.0445355926
414	0.04448770827
415	0.04439883036
416	0.04436272427
417	0.04419525741
418	0.04381062677
419	0.04346353849
420	0.04344579717
421	0.04331362696
422	0.0428329567
423	0.04278333314
424	0.04270227484
425	0.04267013083
426	0.04259595685
427	0.04253376642
428	0.04251704718
429	0.04020424725
430	0.04012227071
431	0.04001174034
432	0.03992554778
433	0.03990200517
434	0.03965260715
435	0.03960385115
436	0.03926159821
437	0.03923817731
438	0.03920255327
439	0.03810561086
440	0.03802980522
441	0.03787833024
442	0.03676555609
443	0.03663197892
444	0.03642341107
445	0.03638944922
446	0.03630622642
447	0.03551470466
448	0.03464743072
449	0.03297873175
450	0.03294675802
451	0.03289647385
452	0.03223639109
453	0.03058899293
454	0.03057409899
455	0.0304799956
456	0.03043248956
457	0.03040359859
458	0.03026370907
459	0.03024871551
460	0.02992224371
461	0.02987034287
462	0.02975731156
463	0.02970932883
464	0.02963198391
465	0.02961364828
466	0.0295513235
467	0.02954275555
468	0.02909341887
469	0.02908361066
470	0.02851961577
471	0.02844825897
472	0.0282553989
473	0.02797000782
474	0.02788920336
475	0.02771361402
476	0.0274276349
477	0.02731444846
478	0.02730613599
479	0.02727998174
480	0.02725036699
481	0.02711606809
482	0.02704166979
483	0.02690288781
484	0.02638846182
485	0.02613220752
486	0.0260255202
487	0.02598856611
488	0.02598372382
489	0.02544817312
490	0.02540535936
491	0.02525302115
492	0.02514205924
493	0.02510236778
494	0.02502783377
495	0.02501359345
496	0.02477928683
497	0.02377592063
498	0.02231634274
499	0.02208470601
