iter	Passed	Remaining
0	4	2276
1	31	7833
2	60	10086
3	86	10763
4	113	11215
5	152	12575
6	181	12759
7	207	12764
8	234	12798
9	247	12136
10	272	12131
11	302	12304
12	326	12240
13	352	12238
14	380	12296
15	409	12377
16	434	12347
17	461	12363
18	487	12346
19	514	12359
20	541	12362
21	568	12346
22	596	12365
23	621	12327
24	649	12334
25	677	12348
26	703	12323
27	731	12331
28	759	12328
29	784	12289
30	812	12295
31	839	12282
32	865	12254
33	892	12234
34	918	12208
35	946	12195
36	972	12170
37	998	12141
38	1027	12148
39	1055	12136
40	1080	12093
41	1105	12053
42	1127	11981
43	1152	11946
44	1180	11938
45	1208	11929
46	1234	11895
47	1260	11868
48	1289	11864
49	1315	11838
50	1343	11827
51	1371	11814
52	1396	11781
53	1424	11767
54	1451	11746
55	1478	11718
56	1504	11694
57	1530	11667
58	1558	11651
59	1586	11632
60	1611	11599
61	1638	11574
62	1664	11548
63	1693	11539
64	1720	11512
65	1747	11490
66	1774	11466
67	1801	11443
68	1827	11412
69	1855	11395
70	1883	11377
71	1908	11346
72	1935	11318
73	1975	11373
74	2004	11357
75	2034	11351
76	2061	11326
77	2088	11299
78	2115	11276
79	2142	11248
80	2171	11234
81	2198	11208
82	2224	11178
83	2252	11156
84	2280	11135
85	2307	11109
86	2335	11085
87	2361	11054
88	2389	11033
89	2416	11009
90	2457	11046
91	2483	11014
92	2508	10978
93	2534	10946
94	2559	10910
95	2585	10878
96	2612	10854
97	2637	10818
98	2663	10788
99	2689	10757
100	2716	10731
101	2744	10707
102	2770	10679
103	2798	10656
104	2826	10631
105	2851	10599
106	2878	10571
107	2904	10542
108	2932	10519
109	2962	10501
110	2987	10470
111	3016	10451
112	3045	10431
113	3071	10400
114	3098	10374
115	3124	10342
116	3149	10311
117	3177	10286
118	3204	10258
119	3231	10231
120	3258	10206
121	3284	10175
122	3311	10150
123	3337	10119
124	3363	10091
125	3391	10066
126	3417	10036
127	3444	10010
128	3472	9985
129	3498	9958
130	3525	9930
131	3555	9912
132	3581	9882
133	3609	9859
134	3635	9828
135	3662	9801
136	3690	9777
137	3716	9748
138	3743	9723
139	3776	9711
140	3802	9681
141	3828	9652
142	3869	9660
143	3895	9630
144	3922	9602
145	3947	9571
146	3975	9547
147	4003	9522
148	4039	9516
149	4073	9505
150	4108	9494
151	4145	9491
152	4171	9460
153	4200	9437
154	4227	9409
155	4255	9384
156	4280	9351
157	4307	9323
158	4337	9301
159	4364	9274
160	4392	9247
161	4421	9224
162	4449	9199
163	4475	9169
164	4503	9142
165	4528	9111
166	4558	9089
167	4586	9063
168	4617	9043
169	4645	9017
170	4674	8993
171	4701	8965
172	4727	8935
173	4754	8907
174	4781	8880
175	4808	8851
176	4836	8825
177	4863	8798
178	4890	8770
179	4918	8743
180	4958	8739
181	4986	8713
182	5016	8689
183	5042	8659
184	5091	8670
185	5140	8677
186	5173	8659
187	5200	8631
188	5229	8605
189	5255	8574
190	5280	8543
191	5306	8512
192	5333	8484
193	5361	8456
194	5387	8426
195	5415	8399
196	5440	8367
197	5467	8339
198	5495	8312
199	5522	8283
200	5551	8258
201	5579	8231
202	5604	8200
203	5633	8174
204	5660	8145
205	5686	8114
206	5714	8088
207	5740	8059
208	5768	8031
209	5797	8005
210	5822	7975
211	5850	7948
212	5880	7923
213	5907	7895
214	5934	7866
215	5962	7839
216	5987	7808
217	6018	7785
218	6046	7757
219	6074	7730
220	6101	7702
221	6128	7674
222	6154	7644
223	6180	7615
224	6207	7587
225	6234	7558
226	6272	7543
227	6300	7516
228	6326	7487
229	6353	7458
230	6381	7430
231	6407	7402
232	6434	7373
233	6461	7344
234	6488	7316
235	6514	7287
236	6542	7260
237	6568	7231
238	6597	7204
239	6622	7174
240	6647	7143
241	6674	7115
242	6703	7089
243	6731	7062
244	6758	7034
245	6786	7007
246	6815	6980
247	6846	6956
248	6875	6930
249	6902	6902
250	6929	6874
251	6955	6845
252	7012	6846
253	7039	6817
254	7064	6787
255	7090	6757
256	7115	6728
257	7142	6699
258	7169	6670
259	7193	6640
260	7220	6611
261	7247	6583
262	7276	6556
263	7303	6528
264	7328	6498
265	7356	6471
266	7383	6442
267	7409	6414
268	7437	6387
269	7464	6359
270	7490	6329
271	7517	6301
272	7545	6273
273	7571	6245
274	7598	6217
275	7624	6187
276	7653	6161
277	7679	6132
278	7706	6104
279	7734	6076
280	7760	6048
281	7788	6021
282	7815	5992
283	7841	5963
284	7870	5937
285	7899	5911
286	7926	5882
287	7953	5854
288	7979	5825
289	8008	5799
290	8035	5771
291	8063	5744
292	8088	5714
293	8116	5687
294	8141	5657
295	8168	5629
296	8195	5601
297	8221	5573
